,average_of_bi-directional_entire-structure-averages,percent_of_different-structure_(from_neuron_1_to_2),percent_of_different-structure_(from_neuron_2_to_1),percent_of_different-structure_(average)
../auto_3/079_auto_3.cropped.swc,2.9784200000000003,0.0305214,0.138502,0.0845116
../auto_3/020_auto_3.cropped.swc,2.91554,0.00294118,0.16373,0.0833357
../auto_3/035_auto_3.cropped.swc,2.72673,0.0264339,0.138739,0.08258639999999999
../auto_3/036_auto_3.cropped.swc,2.64606,0.013411099999999999,0.147753,0.0805821
../auto_3/032_auto_3.cropped.swc,3.71334,0.122671,0.035906,0.0792884
../auto_3/055_auto_3.cropped.swc,3.5935099999999998,0.13733299999999998,0.019033,0.0781831
../auto_3/005_auto_3.cropped.swc,2.72111,0.0226926,0.132379,0.07753560000000001
../auto_3/105_auto_3.cropped.swc,2.69921,0.0802418,0.07230260000000001,0.0762722
../auto_3/038_auto_3.cropped.swc,2.9162,0.030565300000000004,0.118605,0.07458530000000001
../auto_3/037_auto_3.cropped.swc,2.8334799999999998,0.0012138,0.146367,0.07379019999999999
../auto_3/029_auto_3.cropped.swc,3.9997199999999995,0.144872,0.0,0.07243580000000001
../auto_3/021_auto_3.cropped.swc,2.7660099999999996,0.08437389999999999,0.0502839,0.0673289
../auto_3/114_auto_3.cropped.swc,2.53253,0.008804799999999998,0.12243399999999999,0.06561950000000001
../auto_3/109_auto_3.cropped.swc,3.02484,0.11938399999999999,0.00707662,0.0632302
../auto_3/056_auto_3.cropped.swc,2.75159,0.11854300000000001,0.00279756,0.060670299999999996
../auto_3/116_auto_3.cropped.swc,2.3315,0.0134631,0.10661099999999998,0.060037
../auto_3/003_auto_3.cropped.swc,2.94901,0.119276,0.000473485,0.0598745
../auto_3/030_auto_3.cropped.swc,3.27681,0.11576900000000001,0.0,0.0578846
../auto_3/112_auto_3.cropped.swc,2.24078,0.0243699,0.08794110000000001,0.0561555
../auto_3/017_auto_3.cropped.swc,2.62772,0.0897691,0.0193106,0.0545399
../auto_3/075_auto_3.cropped.swc,1.8863,0.08098510000000002,0.0229111,0.0519481
../auto_3/046_auto_3.cropped.swc,3.82763,0.0983328,0.0,0.0491664
../auto_3/062_auto_3.cropped.swc,2.35415,0.0786219,0.0126278,0.04562480000000001
../auto_3/054_auto_3.cropped.swc,2.14573,0.021799900000000004,0.0652853,0.0435426
../auto_3/103_auto_3.cropped.swc,2.61413,0.0394316,0.045023,0.0422273
../auto_3/059_auto_3.cropped.swc,2.21659,0.0642928,0.0113305,0.0378117
../auto_3/043_auto_3.cropped.swc,1.4665,0.060518100000000005,0.0,0.030258999999999998
../auto_3/106_auto_3.cropped.swc,1.87392,0.0517092,0.00235798,0.0270336
../auto_3/110_auto_3.cropped.swc,1.56074,0.0496957,0.00344065,0.0265682
../auto_3/063_auto_3.cropped.swc,1.36037,0.0,0.0438283,0.0219141
../auto_3/115_auto_3.cropped.swc,1.52952,0.0103041,0.0306233,0.0204637
../auto_3/123_auto_3.cropped.swc,1.41085,0.00035739800000000004,0.0388254,0.019591400000000002
../auto_3/042_auto_3.cropped.swc,2.4060099999999998,0.0312751,0.00254561,0.0169103
../auto_3/053_auto_3.cropped.swc,1.4195200000000001,0.00996285,0.018488099999999997,0.0142255
../auto_3/045_auto_3.cropped.swc,1.31166,0.013153799999999998,0.0,0.00657689
